,Name,Position,teamAbbrev,Salary,AvgPointsPerGame
286,Jaylen Brown,SF,bos,3000.0,8.0
287,Larry Nance,SF/PF,lal,3100.0,29.75
288,Aron Baynes,C,det,3000.0,14.5
289,Devin Harris,PG,dal,3000.0,0.0
290,Kyle O'Quinn,PF/C,nyk,3100.0,9.25
291,Ishmael Smith,PG,det,5500.0,23.0
292,R.J. Hunter,SG,chi,3000.0,0.0
293,Eric Bledsoe,PG,pho,6900.0,35.75
294,Enes Kanter,C,okc,5400.0,22.0
295,Troy Daniels,SG,mem,3000.0,0.0
296,Brandon Knight,PG/SG,pho,5300.0,25.5
297,Alan Anderson,SF,lac,3000.0,0.0
298,Joe Johnson,SG/SF,uta,5000.0,27.75
299,Isaiah Whitehead,PG,bkn,3000.0,14.0
